ID	Original Text	Translated Text
240	We heard of a ship that answered a distress beacon, but it was an ambush. The crew was lured in, willing to aid some poor fellow and hoping for a modest reward. And then their ship was blown to pieces. Who would do something like that?	Nous avons entendu parler d'un navire qui a répondu à une balise de détresse, mais c'était une embuscade. L'équipage a été attiré, prêt à aider un pauvre type et espérant une modeste récompense. Et puis leur navire a été réduit en pièces. Qui ferait une chose pareille ?
241	You're asking me? Well then, my suspicions have been confirmed correct. Even you Colonial Union officers have no idea what happened. If that's the case, then only those with access to the Command Center are likely to know anything.	Vous me le demandez ? Eh bien, mes soupçons ont été confirmés. Même vous, officiers de l'Union Coloniale, n'avez aucune idée de ce qui s'est passé. Si c'est le cas, alors seuls ceux qui ont accès au centre de commande sont susceptibles de savoir quelque chose.
242	Ah, the Wasted Wing. I prefer not to add kindling to rumors, but something big must have happened there for the Command Center to initiate such a drastic protocol. I wish I could tell you more, but I'm just a civilian. You'd have a better chance asking a Colonial Union officer. Although, I doubt even most of them know what really happened.	Ah, l'Aile perdue. Je préfère ne pas ajouter du petit bois aux rumeurs, mais quelque chose d'important a dû s'y passer pour que le centre de commandement lance un protocole aussi drastique. J'aimerais pouvoir vous en dire plus, mais je ne suis qu'un civil. Vous auriez plus de chances de demander à un officier de l'Union Coloniale. Bien que je doute que la plupart d'entre eux sachent ce qui s'est réellement passé.
243	Havenâ€™t seen your face around here. Did your ship get in recently? Better grab your supplies fast. Things are going to hell as of late.	Je n'ai pas vu votre visage par ici. Ton vaisseau est arrivé récemment ? Tu ferais mieux de prendre tes provisions rapidement. Les choses partent en vrille ces derniers temps.
244	You're asking me? Aren't you a famous Colonial Union officer? I should be asking you about what happened in the Wasted Wing.	C'est à moi que vous demandez ça ? N'êtes-vous pas un célèbre officier de la Colonial Union ? Je devrais vous demander ce qui s'est passé dans l'Aile perdue.
245	Hello again. I hope you're faring well.	Rebonjour. J'espère que vous vous portez bien.
246	If you're looking for shops you can trust, stick to places like Outpost 448, the Harbor, and automated trading stations. They run legitimate businesses. Anywhere else, and you're bound to stumble upon repurposed or stolen merchandise.	Si vous recherchez des magasins dignes de confiance, tenez-vous-en à des endroits comme l'avant-poste 448, le port et les stations commerciales automatisées. Ils gèrent des entreprises légitimes. Si vous allez ailleurs, vous risquez de tomber sur des marchandises récupérées ou volées.
247	...Our captain is up to no good. I don't want to get into the details, but he seems to be running some illegal deals. I had heard some dark rumors about our captain before I joined, but I never believed a man like him could be anything but honorable. He's the sort of man who looks you in the eye when you speak. And that's what makes it so much harder to turn him in.	...Notre capitaine ne fait rien de bon. Je ne veux pas entrer dans les détails, mais il semble faire des affaires illégales. J'avais entendu de sombres rumeurs sur notre capitaine avant de m'engager, mais je n'ai jamais cru qu'un homme comme lui pouvait être autre chose qu'honorable. C'est le genre d'homme qui vous regarde dans les yeux quand vous parlez. Et c'est ce qui rend plus difficile de le dénoncer.
248	They say this hub was first built from the melted scraps of old, retired warships. Sure, most of it has been stripped and rebuilt over recent years. But the core, the soul of this base has seen worse times than these.	On dit que cette plaque tournante a été construite à partir des débris fondus de vieux navires de guerre hors service. Bien sûr, la plupart ont été démontés et reconstruits ces dernières années. Mais le noyau, l'âme de cette base a connu des temps plus difficiles que ceux-ci.
249	This is the main Colonial Union outpost in the galaxy. It was first established as a supply station in 3144 UE by a Sylvassi named Anatu. Over the following decades, it functioned as a small waypoint for fringe voyagers until a more recent influx of trade, mining, and discovery expeditions came to this galaxy. Outpost 448 has since expanded into a fully operational Colonial Union hub, and now serves as a center for trade among several different factions. It also houses one of the Colonial Union's most prestigious space fleet academies, as well as Union-authorized research labs.	C'est le principal avant-poste de l'Union coloniale dans la galaxie. Il a été établi comme station de ravitaillement en 3144 UE par une Sylvassi nommée Anatu. Au cours des décennies suivantes, il a fonctionné comme un petit point de passage pour les voyageurs marginaux jusqu'à ce qu'un afflux plus récent d'expéditions commerciales, minières et de découverte arrive dans cette galaxie. L'avant-poste 448 s'est depuis développé pour devenir un centre de l'Union coloniale entièrement opérationnel, et sert désormais de centre de commerce entre plusieurs factions différentes. Il abrite également l'une des plus prestigieuses académies de la flotte spatiale de l'Union coloniale, ainsi que des laboratoires de recherche autorisés par l'Union.
250	If you're looking to resupply, go the upper level of the station. There are several shops open that would be happy to do business with you.	Si vous cherchez à vous réapprovisionner, allez au niveau supérieur de la station. Il y a plusieurs magasins ouverts qui seront heureux de faire des affaires avec vous.
251	An emergency protocol was carried out to ensure the continued safety of Outpost 448â€™s inhabitants. We assure you, the situation has been resolved. There is no reason for concern.	Un protocole d'urgence a été mis en place pour assurer la sécurité des habitants de l'avant-poste 448. Nous vous assurons que la situation a été résolue. Il n'y a aucune raison de s'inquiéter.
252	I heard you were granted access to the Command Center. If that's the case, then you have more information than I do. Good luck with whatever missions the Command Center assigns you.	J'ai entendu dire qu'on vous avait accordé l'accès au centre de commande. Si c'est le cas, alors vous avez plus d'informations que moi. Bonne chance pour les missions que le centre de commandement vous confie.
253	What would you like to know?	Que voulez-vous savoir ?
254	What are you interested in learning about?	Sur quoi souhaitez-vous vous renseigner ?
255	How may I help?	Comment puis-je vous aider ?
256	Welcome to Colonial Union Outpost 448! If you have any questions, I would be happy to answer them for you. Please enjoy your visit, and be sure to stock up on supplies before you go. For together, we survive.	Bienvenue à l'avant-poste 448 de la Colonial Union ! Si vous avez des questions, je serai heureux d'y répondre. Profitez de votre visite, et n'oubliez pas de faire le plein de provisions avant de partir. Car c'est ensemble que nous survivons.
257	This memorial is for the countless brave souls who sacrificed their lives to save mankind. Although it was dedicated to the soldiers of the Old Wars, I believe it honors all those who have served in battle throughout our history.	Ce mémorial est dédié aux innombrables âmes courageuses qui ont sacrifié leur vie pour sauver l'humanité. Bien qu'il ait été dédié aux soldats des Anciennes Guerres, je crois qu'il honore tous ceux qui ont servi au combat tout au long de notre histoire.
258	As a captain, I can say with confidence that there is nothing more important than your crew. Without the loyal men and women who keep your ship up and running, you have nothing. Be good to your crewmen. When you run into trouble, those are the people who'll be willing to lay their lives on the line to protect yours. And you should be ready to do the same.	En tant que capitaine, je peux dire avec confiance qu'il n'y a rien de plus important que votre équipage. Sans les hommes et les femmes loyaux qui font fonctionner votre navire, vous n'avez rien. Soyez bon envers vos équipiers. Lorsque vous aurez des problèmes, ce sont ces personnes qui seront prêtes à risquer leur vie pour protéger la vôtre. Et vous devriez être prêt à faire de même.
259	â€¦Please, donâ€™t bother me. I just need a moment to myself.	S'il vous plaît, ne me dérangez pas. J'ai juste besoin d'un moment pour moi.
260	I've been living at this hub for five years now, and Iâ€™m proud to call it home. I hope this outpost becomes as much a safe haven to you and your crew as it has been to me.	Je vis dans ce centre depuis cinq ans maintenant, et je suis fier d'y être chez moi. J'espère que cet avant-poste deviendra un refuge aussi sûr pour vous et votre équipage qu'il l'a été pour moi.
261	Do you know much about the Infected? They seem to take over entire sections of the galaxy, and I hear they keep spreading. Itâ€™s worrisome, isnâ€™t it? What if weâ€™re next? I canâ€™t imagine Outpost 448 falling to anything, let alone some strange creaturesâ€¦	Savez-vous quelque chose sur les infectés ? Ils semblent prendre le contrôle de sections entières de la galaxie, et j'ai entendu dire qu'ils continuaient à se répandre. C'est inquiétant, n'est-ce pas ? Et si nous étions les prochains ? Je ne peux pas imaginer l'avant-poste 448 tomber sous le coup de quoi que ce soit, encore moins d'étranges créatures...
262	Need to drop some cargo? I'll take it off your hands.	Vous avez besoin de déposer une cargaison ? Je vais vous en débarrasser.
263	Nothing going on here.	Rien ne se passe ici.
264	Canâ€™t you see Iâ€™m working? Stop bothering me.	Tu ne vois pas que je travaille ? Arrête de m'embêter.
265	Our pilot is useless. All he thinks about is racing. Last week, we were at a repair station to patch up some damage to our hull. Our idiot pilot sped up and rammed the ship into the side of the repair bay. It knocked our hull down to 10% integrity. Needless to say, our captain is getting sick of his antics. If he pulls a stunt like that one more time, we'll have to look for a new pilot. That good-for-nothing fool... I don't know why we hired him in the first place.	Notre pilote est inutile. Il ne pense qu'à la course. La semaine dernière, nous étions dans une station de réparation pour réparer des dégâts sur notre coque. Notre idiot de pilote a accéléré et a percuté le côté de la baie de réparation. Cela a réduit l'intégrité de notre coque à 10%. Inutile de dire que notre capitaine commence à en avoir marre de ses singeries. S'il fait encore un coup comme ça, nous devrons chercher un nouveau pilote. Ce bon à rien d'imbécile... Je ne sais pas pourquoi nous l'avons engagé en premier lieu.
